Origin Time:2020/07/26 20:52:29
Lon:122.42°E
Lat:24.26°N
Depth:53.6km
Mag:6.2
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 164.25,AZ=106.79,PGA(V)=   0.31,PGA(NS)=   1.53,PGA(EW)=   1.81,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.13
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 166.93,AZ= 39.84,PGA(V)=   4.82,PGA(NS)=  10.26,PGA(EW)=  15.02,PGV(V)=   0.14,PGV(NS)=   0.33,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  11.27,PGV(SUM)=   0.40
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.77,Stalat=24.35,Dist= 167.60,AZ= 93.46,PGA(V)=   1.69,PGA(NS)=   1.17,PGA(EW)=   1.07,PGV(V)=   0.13,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.57,PGV(SUM)=   0.14
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 168.30,AZ=100.70,PGA(V)=   1.68,PGA(NS)=   2.41,PGA(EW)=   3.07,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.46,PGV(SUM)=   0.26
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 168.55,AZ= 96.00,PGA(V)=   0.87,PGA(NS)=   1.02,PGA(EW)=   0.71,PGV(V)=   0.07,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.10
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 171.18,AZ= 68.79,PGA(V)=   2.34,PGA(NS)=   4.23,PGA(EW)=   4.15,PGV(V)=   0.19,PGV(NS)=   0.27,PGV(EW)=   0.37,Int= 2級,PGA(SUM)=   4.98,PGV(SUM)=   0.42
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 176.69,AZ= 82.35,PGA(V)=   2.39,PGA(NS)=   2.57,PGA(EW)=   1.83,PGV(V)=   0.14,PGV(NS)=   0.18,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.51,PGV(SUM)=   0.18
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 176.91,AZ= 86.07,PGA(V)=   0.85,PGA(NS)=   1.12,PGA(EW)=   1.07,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.11
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 177.59,AZ= 43.67,PGA(V)=   2.53,PGA(NS)=   6.11,PGA(EW)=   5.88,PGV(V)=   0.16,PGV(NS)=   0.37,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   7.35,PGV(SUM)=   0.49
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 178.81,AZ= 74.43,PGA(V)=   0.97,PGA(NS)=   2.54,PGA(EW)=   2.33,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.69,PGV(SUM)=   0.18
