Origin Time:2024/11/07 01:19:39
Lon:121.55¢XE
Lat:23.56¢XN
Depth:32.5km
Mag:5.5
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist= 115.05,BAZ=178.06,PGA(V)=   0.68,PGA(NS)=   1.14,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.06
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 116.14,BAZ=119.42,PGA(V)=   7.63,PGA(NS)=  24.25,PGA(EW)=  21.18,PGV(V)=   0.19,PGV(NS)=   0.66,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=  23.15,PGV(SUM)=   0.68
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 116.83,BAZ=137.86,PGA(V)=   2.48,PGA(NS)=   3.62,PGA(EW)=   2.69,PGV(V)=   0.14,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.79,PGV(SUM)=   0.19
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist= 118.47,BAZ= 78.58,PGA(V)=   2.93,PGA(NS)=   5.58,PGA(EW)=   5.21,PGV(V)=   0.15,PGV(NS)=   0.45,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   5.49,PGV(SUM)=   0.45
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 119.40,BAZ= 96.57,PGA(V)=   4.12,PGA(NS)=   4.49,PGA(EW)=   5.45,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.81,PGV(SUM)=   0.26
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist= 119.66,BAZ=188.09,PGA(V)=   0.95,PGA(NS)=   1.46,PGA(EW)=   1.80,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.81,PGV(SUM)=   0.08
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist= 123.10,BAZ= 29.38,PGA(V)=   0.65,PGA(NS)=   1.00,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.06
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 123.23,BAZ=139.82,PGA(V)=   1.99,PGA(NS)=   2.81,PGA(EW)=   1.12,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.76,PGV(SUM)=   0.18
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist= 124.29,BAZ=171.32,PGA(V)=   0.46,PGA(NS)=   0.99,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.06
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 125.32,BAZ=107.39,PGA(V)=  10.48,PGA(NS)=  11.72,PGA(EW)=  11.53,PGV(V)=   0.24,PGV(NS)=   0.33,PGV(EW)=   0.40,Int= 3¯Å,PGA(SUM)=  12.31,PGV(SUM)=   0.45
