Origin Time:2019/04/03 09:52:55
Lon:120.85°E
Lat:22.95°N
Depth:4.1km
Mag:5.9
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 202.94,AZ=184.73,PGA(V)=   1.08,PGA(NS)=   1.35,PGA(EW)=   1.82
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist= 206.01,AZ=205.27,PGA(V)=   1.02,PGA(NS)=   2.28,PGA(EW)=   1.94
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 208.45,AZ=184.50,PGA(V)=   1.09,PGA(NS)=   2.03,PGA(EW)=   2.66
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 213.06,AZ=203.35,PGA(V)=   0.83,PGA(NS)=   1.90,PGA(EW)=   2.09
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 220.73,AZ=204.61,PGA(V)=   1.35,PGA(NS)=   2.79,PGA(EW)=   2.77
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 225.90,AZ=188.83,PGA(V)=   1.11,PGA(NS)=   1.77,PGA(EW)=   2.21
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 228.44,AZ=184.95,PGA(V)=   0.68,PGA(NS)=   1.03,PGA(EW)=   1.26
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 231.26,AZ=191.26,PGA(V)=   1.07,PGA(NS)=   2.08,PGA(EW)=   1.97
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 232.97,AZ=205.25,PGA(V)=   0.95,PGA(NS)=   2.12,PGA(EW)=   2.44
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 234.33,AZ=194.79,PGA(V)=   1.34,PGA(NS)=   2.48,PGA(EW)=   2.91
Stacode=TWA ,Staname=木柵  ,Stalon=121.59,Stalat=24.98,Dist= 236.63,AZ=198.52,PGA(V)=   1.35,PGA(NS)=   1.88,PGA(EW)=   2.95
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 240.58,AZ=196.21,PGA(V)=   0.88,PGA(NS)=   3.00,PGA(EW)=   3.02
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 242.39,AZ=197.48,PGA(V)=   1.36,PGA(NS)=   5.26,PGA(EW)=   5.09
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist= 244.61,AZ=203.85,PGA(V)=   0.52,PGA(NS)=   0.74,PGA(EW)=   1.06
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 245.02,AZ=193.68,PGA(V)=   0.87,PGA(NS)=   1.15,PGA(EW)=   1.10
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 252.42,AZ=193.88,PGA(V)=   1.20,PGA(NS)=   1.81,PGA(EW)=   2.62
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist= 260.73,AZ=201.02,PGA(V)=   0.55,PGA(NS)=   0.67,PGA(EW)=   0.92
