Origin Time:2023/02/07 04:20:17
Lon:121.76°E
Lat:24.27°N
Depth:22.1km
Mag:5.1
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 116.24,BAZ= 64.56,PGA(V)=   0.38,PGA(NS)=   0.84,PGA(EW)=   0.65,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.06
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 117.01,BAZ= 69.76,PGA(V)=   0.73,PGA(NS)=   0.78,PGA(EW)=   0.68,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.06
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 117.07,BAZ= 67.99,PGA(V)=   0.36,PGA(NS)=   0.88,PGA(EW)=   0.72,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist= 119.22,BAZ= 43.15,PGA(V)=   0.38,PGA(NS)=   1.63,PGA(EW)=   1.71,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.12
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 123.97,BAZ= 80.06,PGA(V)=   1.06,PGA(NS)=   1.89,PGA(EW)=   2.32,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.12
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 124.84,BAZ= 73.92,PGA(V)=   1.10,PGA(NS)=   1.30,PGA(EW)=   1.42,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.12
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 125.57,BAZ= 89.19,PGA(V)=   0.92,PGA(NS)=   1.23,PGA(EW)=   1.14,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.09
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 128.07,BAZ= 21.78,PGA(V)=   0.24,PGA(NS)=   0.69,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.04
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 128.28,BAZ= 48.71,PGA(V)=   0.44,PGA(NS)=   0.74,PGA(EW)=   0.67,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.06
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 133.23,BAZ= 55.84,PGA(V)=   0.46,PGA(NS)=   1.14,PGA(EW)=   1.91,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.97,PGV(SUM)=   0.12
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 135.97,BAZ= 16.87,PGA(V)=   0.37,PGA(NS)=   0.75,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.05
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 137.48,BAZ= 61.71,PGA(V)=   0.46,PGA(NS)=   1.16,PGA(EW)=   1.36,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.07
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 138.79,BAZ= 63.57,PGA(V)=   0.75,PGA(NS)=   1.26,PGA(EW)=   1.42,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.09
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 146.36,BAZ= 73.74,PGA(V)=   0.88,PGA(NS)=   1.74,PGA(EW)=   1.72,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.12
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 149.60,BAZ= 51.87,PGA(V)=   0.59,PGA(NS)=   1.92,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.09
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 151.32,BAZ= 17.91,PGA(V)=   0.39,PGA(NS)=   0.89,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.04
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 153.86,BAZ= 65.09,PGA(V)=   0.46,PGA(NS)=   1.21,PGA(EW)=   1.17,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.08
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 154.48,BAZ= 57.92,PGA(V)=   0.85,PGA(NS)=   1.76,PGA(EW)=   1.20,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.74,PGV(SUM)=   0.11
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 156.33,BAZ= 73.07,PGA(V)=   0.42,PGA(NS)=   0.97,PGA(EW)=   1.38,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.07
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 160.21,BAZ= 57.54,PGA(V)=   0.41,PGA(NS)=   1.27,PGA(EW)=   1.36,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.09
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 164.69,BAZ= 71.64,PGA(V)=   0.67,PGA(NS)=   0.68,PGA(EW)=   1.05,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.05
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 170.94,BAZ= 65.65,PGA(V)=   0.82,PGA(NS)=   1.40,PGA(EW)=   1.21,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.08
