Origin Time:2024/09/07 13:16:50
Lon:121.69¢XE
Lat:23.96¢XN
Depth:29.5km
Mag:5.3
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 110.88,BAZ= 68.93,PGA(V)=   1.19,PGA(NS)=   3.85,PGA(EW)=   3.27,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.32,PGV(SUM)=   0.23
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 112.32,BAZ=171.33,PGA(V)=   0.80,PGA(NS)=   1.62,PGA(EW)=   1.31,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.08
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 113.20,BAZ= 90.19,PGA(V)=   1.83,PGA(NS)=   2.00,PGA(EW)=   1.98,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.32,PGV(SUM)=   0.17
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 115.89,BAZ=133.97,PGA(V)=   0.79,PGA(NS)=   0.82,PGA(EW)=   1.49,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.10
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist= 116.03,BAZ= 19.98,PGA(V)=   2.04,PGA(NS)=   4.12,PGA(EW)=   2.85,PGV(V)=   0.08,PGV(NS)=   0.23,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.24,PGV(SUM)=   0.24
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 116.15,BAZ= 96.70,PGA(V)=   1.56,PGA(NS)=   3.39,PGA(EW)=   3.48,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.40,PGV(SUM)=   0.22
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 118.22,BAZ= 75.19,PGA(V)=   1.31,PGA(NS)=   2.67,PGA(EW)=   3.08,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.92,PGV(SUM)=   0.20
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 118.48,BAZ=144.52,PGA(V)=   0.52,PGA(NS)=   1.05,PGA(EW)=   1.19,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.11
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist= 119.68,BAZ=169.39,PGA(V)=   0.97,PGA(NS)=   1.13,PGA(EW)=   1.20,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.14
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 120.55,BAZ= 77.14,PGA(V)=   1.51,PGA(NS)=   2.37,PGA(EW)=   2.75,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.69,PGV(SUM)=   0.27
