Origin Time:2024/04/23 09:45:45
Lon:121.57¢XE
Lat:23.81¢XN
Depth:7.4km
Mag:5.4
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist= 106.81,BAZ=189.95,PGA(V)=   0.71,PGA(NS)=   2.14,PGA(EW)=   1.59,PGV(V)=   0.08,PGV(NS)=   0.27,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.14,PGV(SUM)=   0.27
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 107.06,BAZ=147.54,PGA(V)=   0.59,PGA(NS)=   1.10,PGA(EW)=   1.21,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.16
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 107.33,BAZ= 67.21,PGA(V)=   0.99,PGA(NS)=   2.40,PGA(EW)=   2.05,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   3.04,PGV(SUM)=   0.30
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 107.54,BAZ=105.87,PGA(V)=   1.74,PGA(NS)=   2.76,PGA(EW)=   3.99,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   4.03,PGV(SUM)=   0.31
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 108.27,BAZ=148.43,PGA(V)=   0.74,PGA(NS)=   1.25,PGA(EW)=   0.90,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.10
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist= 110.32,BAZ= 24.33,PGA(V)=   0.36,PGA(NS)=   1.04,PGA(EW)=   0.72,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.05,PGV(SUM)=   0.09
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 110.93,BAZ= 88.56,PGA(V)=   1.02,PGA(NS)=   2.29,PGA(EW)=   2.23,PGV(V)=   0.14,PGV(NS)=   0.29,PGV(EW)=   0.35,Int= 1¯Å,PGA(SUM)=   2.47,PGV(SUM)=   0.36
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 111.88,BAZ=121.90,PGA(V)=   1.01,PGA(NS)=   1.40,PGA(EW)=   1.17,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.21
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 112.70,BAZ=137.56,PGA(V)=   0.62,PGA(NS)=   1.20,PGA(EW)=   1.08,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.18
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 113.40,BAZ=154.19,PGA(V)=   0.67,PGA(NS)=   1.78,PGA(EW)=   1.99,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.08,PGV(SUM)=   0.21
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 114.11,BAZ=159.20,PGA(V)=   0.93,PGA(NS)=   2.09,PGA(EW)=   1.71,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.17
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 115.93,BAZ= 57.00,PGA(V)=   0.38,PGA(NS)=   0.62,PGA(EW)=   0.89,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.10
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 116.47,BAZ= 74.44,PGA(V)=   1.28,PGA(NS)=   2.19,PGA(EW)=   3.20,PGV(V)=   0.14,PGV(NS)=   0.19,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   3.19,PGV(SUM)=   0.37
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 117.61,BAZ=114.63,PGA(V)=   3.43,PGA(NS)=   2.29,PGA(EW)=   2.89,PGV(V)=   0.30,PGV(NS)=   0.46,PGV(EW)=   0.49,Int= 2¯Å,PGA(SUM)=   2.76,PGV(SUM)=   0.53
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist= 118.02,BAZ=192.70,PGA(V)=   0.48,PGA(NS)=   1.28,PGA(EW)=   1.41,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.42,PGV(SUM)=   0.15
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 119.49,BAZ=102.92,PGA(V)=   0.87,PGA(NS)=   2.47,PGA(EW)=   2.45,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   2.75,PGV(SUM)=   0.29
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 119.96,BAZ=143.41,PGA(V)=   0.79,PGA(NS)=   1.75,PGA(EW)=   1.60,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.88,PGV(SUM)=   0.17
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 120.84,BAZ=152.14,PGA(V)=   0.72,PGA(NS)=   0.96,PGA(EW)=   1.01,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.14
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 121.69,BAZ= 83.39,PGA(V)=   1.03,PGA(NS)=   3.13,PGA(EW)=   1.70,PGV(V)=   0.07,PGV(NS)=   0.48,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   3.30,PGV(SUM)=   0.51
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 121.69,BAZ= 73.19,PGA(V)=   0.76,PGA(NS)=   4.00,PGA(EW)=   2.61,PGV(V)=   0.07,PGV(NS)=   0.38,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   4.25,PGV(SUM)=   0.42
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist= 122.09,BAZ=166.15,PGA(V)=   0.64,PGA(NS)=   1.37,PGA(EW)=   1.00,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.21
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 122.25,BAZ= 94.60,PGA(V)=   1.04,PGA(NS)=   4.00,PGA(EW)=   1.90,PGV(V)=   0.09,PGV(NS)=   0.40,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   4.10,PGV(SUM)=   0.40
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 125.91,BAZ=153.15,PGA(V)=   0.64,PGA(NS)=   1.50,PGA(EW)=   1.83,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.23,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.23
