Origin Time:2024/04/22 18:50:31
Lon:121.55°E
Lat:23.75°N
Depth:6.8km
Mag:5.7
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 116.94,BAZ= 76.10,PGA(V)=   1.38,PGA(NS)=   4.33,PGA(EW)=   5.31,PGV(V)=   0.26,PGV(NS)=   0.57,PGV(EW)=   0.76,Int= 2級,PGA(SUM)=   5.19,PGV(SUM)=   0.84
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 117.49,BAZ= 19.86,PGA(V)=   0.66,PGA(NS)=   1.53,PGA(EW)=   1.35,PGV(V)=   0.21,PGV(NS)=   0.31,PGV(EW)=   0.49,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.53
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 118.11,BAZ= 86.65,PGA(V)=   1.55,PGA(NS)=   3.93,PGA(EW)=   4.97,PGV(V)=   0.44,PGV(NS)=   0.57,PGV(EW)=   1.15,Int= 2級,PGA(SUM)=   5.07,PGV(SUM)=   1.15
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 118.11,BAZ=118.36,PGA(V)=   2.15,PGA(NS)=   2.95,PGA(EW)=   4.12,PGV(V)=   0.47,PGV(NS)=   0.77,PGV(EW)=   0.80,Int= 2級,PGA(SUM)=   4.49,PGV(SUM)=   1.08
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 118.42,BAZ=106.59,PGA(V)=   1.66,PGA(NS)=   3.17,PGA(EW)=   2.76,PGV(V)=   0.27,PGV(NS)=   0.28,PGV(EW)=   0.64,Int= 2級,PGA(SUM)=   3.37,PGV(SUM)=   0.65
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 118.62,BAZ=156.98,PGA(V)=   1.26,PGA(NS)=   2.89,PGA(EW)=   2.81,PGV(V)=   0.23,PGV(NS)=   0.43,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   2.87,PGV(SUM)=   0.43
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist= 119.49,BAZ=  3.72,PGA(V)=   0.62,PGA(NS)=   1.26,PGA(EW)=   1.20,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.28,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.29
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 119.79,BAZ=161.74,PGA(V)=   1.26,PGA(NS)=   2.54,PGA(EW)=   4.10,PGV(V)=   0.24,PGV(NS)=   0.36,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   4.15,PGV(SUM)=   0.38
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 120.07,BAZ= 98.09,PGA(V)=   2.61,PGA(NS)=   5.50,PGA(EW)=   3.77,PGV(V)=   0.48,PGV(NS)=   0.47,PGV(EW)=   0.86,Int= 2級,PGA(SUM)=   5.87,PGV(SUM)=   0.89
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist= 121.23,BAZ= 58.92,PGA(V)=   0.97,PGA(NS)=   1.53,PGA(EW)=   1.09,PGV(V)=   0.20,PGV(NS)=   0.17,PGV(EW)=   0.26,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.26
