Origin Time:2024/04/03 08:46:44
Lon:121.70¢XE
Lat:24.19¢XN
Depth:6.1km
Mag:5.6
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   8.39,BAZ= 69.41,PGA(V)=  83.89,PGA(NS)= 412.80,PGA(EW)= 141.92,PGV(V)=   1.93,PGV(NS)=  11.14,PGV(EW)=   3.59,Int= 4¯Å,PGA(SUM)= 293.50,PGV(SUM)=  11.40
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist= 100.62,BAZ= 22.70,PGA(V)=   1.12,PGA(NS)=   2.53,PGA(EW)=   2.23,PGV(V)=   0.17,PGV(NS)=   0.41,PGV(EW)=   0.36,Int= 2¯Å,PGA(SUM)=   2.86,PGV(SUM)=   0.45
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 100.63,BAZ=123.26,PGA(V)=   1.16,PGA(NS)=   1.55,PGA(EW)=   1.84,PGV(V)=   0.13,PGV(NS)=   0.26,PGV(EW)=   0.30,Int= 1¯Å,PGA(SUM)=   1.99,PGV(SUM)=   0.35
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist= 101.00,BAZ=149.02,PGA(V)=   1.05,PGA(NS)=   1.95,PGA(EW)=   1.08,PGV(V)=   0.19,PGV(NS)=   0.31,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   1.97,PGV(SUM)=   0.31
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist= 101.82,BAZ= 57.85,PGA(V)=   0.66,PGA(NS)=   1.65,PGA(EW)=   1.51,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.76,PGV(SUM)=   0.15
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 102.95,BAZ= 81.13,PGA(V)=   1.19,PGA(NS)=   3.10,PGA(EW)=   2.81,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   3.56,PGV(SUM)=   0.36
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 103.34,BAZ= 87.56,PGA(V)=   0.62,PGA(NS)=   1.93,PGA(EW)=   1.87,PGV(V)=   0.10,PGV(NS)=   0.41,PGV(EW)=   0.28,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.47
Stacode=TWS1,Staname=¤­ªÑ  ,Stalon=121.42,Stalat=25.10,Dist= 105.26,BAZ=164.56,PGA(V)=   0.95,PGA(NS)=   1.05,PGA(EW)=   0.84,PGV(V)=   0.19,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.20
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist= 106.79,BAZ= 67.86,PGA(V)=   0.79,PGA(NS)=   1.98,PGA(EW)=   1.63,PGV(V)=   0.11,PGV(NS)=   0.13,PGV(EW)=   0.21,Int= 1¯Å,PGA(SUM)=   2.07,PGV(SUM)=   0.22
Stacode=NOU ,Staname=°ò¶©¥«,Stalon=121.77,Stalat=25.15,Dist= 107.04,BAZ=183.97,PGA(V)=   0.54,PGA(NS)=   0.68,PGA(EW)=   0.77,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.12
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 108.03,BAZ= 44.31,PGA(V)=   0.83,PGA(NS)=   3.82,PGA(EW)=   4.71,PGV(V)=   0.07,PGV(NS)=   0.26,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   5.11,PGV(SUM)=   0.37
