Origin Time:2024/09/19 01:10:15
Lon:121.50°E
Lat:24.08°N
Depth:19.6km
Mag:4.7
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 108.52,BAZ= 88.60,PGA(V)=   1.36,PGA(NS)=   1.21,PGA(EW)=   1.23,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.06
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 111.41,BAZ=187.48,PGA(V)=   0.52,PGA(NS)=   2.21,PGA(EW)=   1.42,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.10,PGV(SUM)=   0.07
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 112.38,BAZ=156.09,PGA(V)=   0.67,PGA(NS)=   1.10,PGA(EW)=   1.51,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.06
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 113.47,BAZ=176.23,PGA(V)=   0.52,PGA(NS)=   0.91,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.04
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 113.62,BAZ=194.68,PGA(V)=   0.50,PGA(NS)=   0.82,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.07
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 115.53,BAZ= 80.25,PGA(V)=   1.50,PGA(NS)=   2.51,PGA(EW)=   2.28,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.10
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 120.30,BAZ=177.69,PGA(V)=   0.55,PGA(NS)=   1.38,PGA(EW)=   1.40,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.06
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 120.56,BAZ= 59.82,PGA(V)=   0.77,PGA(NS)=   1.18,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.04
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 120.93,BAZ= 68.98,PGA(V)=   1.12,PGA(NS)=   1.67,PGA(EW)=   2.28,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.48,PGV(SUM)=   0.08
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 125.26,BAZ= 78.91,PGA(V)=   0.81,PGA(NS)=   2.40,PGA(EW)=   1.63,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.16,PGV(SUM)=   0.06
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 126.25,BAZ= 59.25,PGA(V)=   0.38,PGA(NS)=   1.26,PGA(EW)=   0.69,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.04
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 133.19,BAZ= 76.79,PGA(V)=   0.89,PGA(NS)=   1.25,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.08
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 138.09,BAZ= 69.19,PGA(V)=   1.00,PGA(NS)=   4.00,PGA(EW)=   3.02,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.61,PGV(SUM)=   0.10
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 140.67,BAZ= 60.67,PGA(V)=   0.63,PGA(NS)=   0.90,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.04
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 143.28,BAZ= 64.52,PGA(V)=   0.52,PGA(NS)=   1.36,PGA(EW)=   1.33,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.07
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 153.15,BAZ= 58.05,PGA(V)=   0.42,PGA(NS)=   0.72,PGA(EW)=   0.95,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.03
