Origin Time:2022/12/24 05:17:59
Lon:121.18°E
Lat:23.13°N
Depth:13.9km
Mag:5.2
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  96.89,BAZ= 84.18,PGA(V)=   0.50,PGA(NS)=   1.08,PGA(EW)=   1.65,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.65,PGV(SUM)=   0.18
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist=  97.50,BAZ=112.04,PGA(V)=   0.59,PGA(NS)=   1.24,PGA(EW)=   1.03,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.28
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  98.36,BAZ=199.10,PGA(V)=   0.93,PGA(NS)=   1.28,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.07
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 100.05,BAZ= 92.97,PGA(V)=   0.43,PGA(NS)=   0.88,PGA(EW)=   1.05,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.16
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 100.25,BAZ=149.56,PGA(V)=   0.75,PGA(NS)=   0.85,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.08
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 100.71,BAZ=104.04,PGA(V)=   0.31,PGA(NS)=   1.24,PGA(EW)=   1.10,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.19
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist= 100.75,BAZ= 81.56,PGA(V)=   1.81,PGA(NS)=   1.78,PGA(EW)=   2.22,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.23,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.26
Stacode=SCZ ,Staname=春日  ,Stalon=120.63,Stalat=22.37,Dist= 100.98,BAZ= 33.96,PGA(V)=   0.44,PGA(NS)=   0.86,PGA(EW)=   1.21,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.08
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 101.78,BAZ=127.61,PGA(V)=   0.41,PGA(NS)=   1.11,PGA(EW)=   1.45,PGV(V)=   0.03,PGV(NS)=   0.25,PGV(EW)=   0.26,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.35
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 103.96,BAZ=205.35,PGA(V)=   0.64,PGA(NS)=   1.57,PGA(EW)=   1.77,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.09
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 106.55,BAZ=114.31,PGA(V)=   0.34,PGA(NS)=   1.45,PGA(EW)=   1.22,PGV(V)=   0.03,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.18
Stacode=KAU1,Staname=高雄市,Stalon=120.31,Stalat=22.59,Dist= 107.06,BAZ= 56.54,PGA(V)=   0.50,PGA(NS)=   1.18,PGA(EW)=   0.85,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.15
Stacode=SLIU,Staname=獅子  ,Stalon=120.80,Stalat=22.22,Dist= 108.06,BAZ= 21.11,PGA(V)=   0.35,PGA(NS)=   0.76,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=WSS ,Staname=壽山  ,Stalon=120.26,Stalat=22.64,Dist= 108.21,BAZ= 60.24,PGA(V)=   0.58,PGA(NS)=   0.73,PGA(EW)=   1.61,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.17
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 110.68,BAZ=146.54,PGA(V)=   0.81,PGA(NS)=   0.88,PGA(EW)=   1.24,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 112.11,BAZ=120.23,PGA(V)=   0.50,PGA(NS)=   1.52,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.19
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 113.02,BAZ=184.92,PGA(V)=   0.73,PGA(NS)=   1.65,PGA(EW)=   2.37,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.14
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist= 119.80,BAZ= 43.87,PGA(V)=   0.40,PGA(NS)=   0.59,PGA(EW)=   1.03,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.11
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 121.89,BAZ=131.90,PGA(V)=   0.29,PGA(NS)=   0.62,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.08
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 122.99,BAZ=149.08,PGA(V)=   0.64,PGA(NS)=   1.33,PGA(EW)=   1.24,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.07
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist= 123.00,BAZ=201.68,PGA(V)=   0.26,PGA(NS)=   0.96,PGA(EW)=   0.71,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.04
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 123.03,BAZ=127.59,PGA(V)=   0.66,PGA(NS)=   0.92,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.11
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 123.58,BAZ=194.54,PGA(V)=   0.96,PGA(NS)=   2.38,PGA(EW)=   2.33,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.48,PGV(SUM)=   0.11
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 124.33,BAZ=183.12,PGA(V)=   0.37,PGA(NS)=   0.93,PGA(EW)=   0.80,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.06
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 124.36,BAZ=179.26,PGA(V)=   0.39,PGA(NS)=   0.68,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 126.82,BAZ=342.03,PGA(V)=   0.22,PGA(NS)=   0.81,PGA(EW)=   0.62,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.03
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 129.65,BAZ=169.50,PGA(V)=   0.47,PGA(NS)=   0.86,PGA(EW)=   1.00,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.07
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 132.02,BAZ= 19.64,PGA(V)=   0.37,PGA(NS)=   1.24,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.11
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist= 136.50,BAZ= 18.81,PGA(V)=   0.36,PGA(NS)=   1.01,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.09
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 141.79,BAZ=151.93,PGA(V)=   0.43,PGA(NS)=   0.79,PGA(EW)=   1.16,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.12
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 146.64,BAZ=188.14,PGA(V)=   0.56,PGA(NS)=   1.18,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.08
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 148.55,BAZ=163.75,PGA(V)=   0.38,PGA(NS)=   0.76,PGA(EW)=   0.45,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.09
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 182.79,BAZ=179.93,PGA(V)=   0.28,PGA(NS)=   0.82,PGA(EW)=   0.77,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.10
