Origin Time:2024/04/23 03:20:11
Lon:121.54°E
Lat:23.87°N
Depth:10.3km
Mag:5.2
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 128.46,BAZ= 63.72,PGA(V)=   0.69,PGA(NS)=   1.16,PGA(EW)=   1.24,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.15
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 129.78,BAZ=178.69,PGA(V)=   0.37,PGA(NS)=   0.67,PGA(EW)=   0.71,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.12
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 134.42,BAZ=184.20,PGA(V)=   0.23,PGA(NS)=   0.80,PGA(EW)=   0.58,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 134.64,BAZ= 87.09,PGA(V)=   0.87,PGA(NS)=   1.30,PGA(EW)=   1.21,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.15
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 135.25,BAZ= 70.42,PGA(V)=   0.48,PGA(NS)=   1.07,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.13
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 135.67,BAZ=190.25,PGA(V)=   0.30,PGA(NS)=   1.59,PGA(EW)=   1.26,PGV(V)=   0.02,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.15
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 135.95,BAZ=158.31,PGA(V)=   0.29,PGA(NS)=   0.71,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.12
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 136.27,BAZ= 79.23,PGA(V)=   0.63,PGA(NS)=   1.86,PGA(EW)=   1.12,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.15
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 139.43,BAZ= 74.16,PGA(V)=   0.40,PGA(NS)=   1.08,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.10
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 146.49,BAZ= 66.90,PGA(V)=   0.20,PGA(NS)=   0.85,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.11
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 151.54,BAZ= 57.75,PGA(V)=   0.32,PGA(NS)=   0.75,PGA(EW)=   0.73,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.12
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 152.65,BAZ= 44.65,PGA(V)=   0.41,PGA(NS)=   0.83,PGA(EW)=   0.72,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.11
