Origin Time:2024/04/25 02:11:54
Lon:122.34°E
Lat:23.98°N
Depth:24.8km
Mag:5.7
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 189.51,BAZ= 83.57,PGA(V)=   1.60,PGA(NS)=   3.20,PGA(EW)=   5.66,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   5.32,PGV(SUM)=   0.19
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 193.98,BAZ= 92.44,PGA(V)=   1.75,PGA(NS)=   3.30,PGA(EW)=   4.12,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.08,PGV(SUM)=   0.27
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 196.10,BAZ= 75.32,PGA(V)=   1.87,PGA(NS)=   3.64,PGA(EW)=   3.17,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.12,PGV(SUM)=   0.20
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 199.42,BAZ= 87.52,PGA(V)=   2.03,PGA(NS)=   4.53,PGA(EW)=   5.15,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   5.54,PGV(SUM)=   0.31
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 200.97,BAZ= 80.71,PGA(V)=   1.48,PGA(NS)=   7.86,PGA(EW)=   3.79,PGV(V)=   0.05,PGV(NS)=   0.25,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   7.42,PGV(SUM)=   0.27
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 201.28,BAZ= 74.54,PGA(V)=   0.72,PGA(NS)=   2.42,PGA(EW)=   3.21,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.22,PGV(SUM)=   0.16
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 207.93,BAZ= 70.46,PGA(V)=   0.75,PGA(NS)=   1.23,PGA(EW)=   1.46,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.12
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 208.73,BAZ= 86.38,PGA(V)=   1.55,PGA(NS)=   4.47,PGA(EW)=   4.07,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.63,PGV(SUM)=   0.24
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 215.97,BAZ= 84.81,PGA(V)=   2.48,PGA(NS)=   2.69,PGA(EW)=   4.37,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   4.37,PGV(SUM)=   0.30
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 216.09,BAZ= 74.43,PGA(V)=   1.04,PGA(NS)=   1.45,PGA(EW)=   1.78,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.83,PGV(SUM)=   0.09
