Origin Time:2023/11/21 01:16:35
Lon:120.86°E
Lat:23.82°N
Depth:28.9km
Mag:4.6
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist=  83.22,BAZ= 51.09,PGA(V)=   2.05,PGA(NS)=   4.13,PGA(EW)=   5.08,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   4.50,PGV(SUM)=   0.12
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  86.50,BAZ=244.25,PGA(V)=   0.31,PGA(NS)=   1.43,PGA(EW)=   1.10,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.04
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  86.74,BAZ=217.89,PGA(V)=   0.43,PGA(NS)=   2.25,PGA(EW)=   1.57,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.87,PGV(SUM)=   0.05
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  93.06,BAZ=190.00,PGA(V)=   0.41,PGA(NS)=   1.36,PGA(EW)=   0.66,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.03
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  95.41,BAZ= 37.53,PGA(V)=   0.98,PGA(NS)=   1.58,PGA(EW)=   1.59,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.06
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  95.73,BAZ=180.80,PGA(V)=   1.89,PGA(NS)=   2.69,PGA(EW)=   4.34,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.25,PGV(SUM)=   0.12
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=  97.89,BAZ= 43.14,PGA(V)=   1.74,PGA(NS)=   2.95,PGA(EW)=   2.06,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.11
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 102.56,BAZ= 30.49,PGA(V)=   0.44,PGA(NS)=   0.85,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.03
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 104.17,BAZ=193.01,PGA(V)=   0.47,PGA(NS)=   1.32,PGA(EW)=   0.93,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.38,PGV(SUM)=   0.03
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist= 105.70,BAZ=239.13,PGA(V)=   0.76,PGA(NS)=   0.95,PGA(EW)=   0.96,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.04
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist= 106.00,BAZ=237.80,PGA(V)=   0.61,PGA(NS)=   0.61,PGA(EW)=   0.62,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.03
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 107.28,BAZ= 36.23,PGA(V)=   0.79,PGA(NS)=   0.96,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.04
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 112.83,BAZ=233.46,PGA(V)=   0.49,PGA(NS)=   1.45,PGA(EW)=   1.63,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.04
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist= 113.21,BAZ= 36.09,PGA(V)=   0.50,PGA(NS)=   0.89,PGA(EW)=   0.52,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.03
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 116.25,BAZ=218.76,PGA(V)=   0.21,PGA(NS)=   1.63,PGA(EW)=   0.87,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.03
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist= 116.48,BAZ=233.49,PGA(V)=   0.58,PGA(NS)=   0.90,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.05
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 134.88,BAZ= 77.96,PGA(V)=   0.66,PGA(NS)=   3.27,PGA(EW)=   2.39,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.06
