Origin Time:2024/04/17 17:17:10
Lon:121.66¢XE
Lat:23.92¢XN
Depth:33.8km
Mag:5.4
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 102.18,BAZ=139.94,PGA(V)=   0.89,PGA(NS)=   1.94,PGA(EW)=   2.16,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.17
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 103.16,BAZ=140.95,PGA(V)=   0.95,PGA(NS)=   2.18,PGA(EW)=   1.80,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.17,PGV(SUM)=   0.11
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist= 103.95,BAZ= 38.32,PGA(V)=   2.55,PGA(NS)=   3.23,PGA(EW)=   2.68,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.35,PGV(SUM)=   0.10
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist= 104.50,BAZ=189.71,PGA(V)=   0.81,PGA(NS)=   1.75,PGA(EW)=   1.52,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.12
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 105.24,BAZ=121.11,PGA(V)=   0.76,PGA(NS)=   1.15,PGA(EW)=   0.94,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.11
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 106.19,BAZ= 70.10,PGA(V)=   1.40,PGA(NS)=   3.77,PGA(EW)=   4.70,PGV(V)=   0.11,PGV(NS)=   0.30,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.24,PGV(SUM)=   0.35
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 106.41,BAZ=152.69,PGA(V)=   1.17,PGA(NS)=   2.80,PGA(EW)=   3.89,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.14,PGV(SUM)=   0.22
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 106.86,BAZ=147.33,PGA(V)=   1.39,PGA(NS)=   3.72,PGA(EW)=   3.25,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.61,PGV(SUM)=   0.19
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 110.28,BAZ=130.10,PGA(V)=   0.74,PGA(NS)=   1.92,PGA(EW)=   1.88,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.17
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist= 111.31,BAZ= 18.88,PGA(V)=   2.33,PGA(NS)=   4.72,PGA(EW)=   5.73,PGV(V)=   0.07,PGV(NS)=   0.21,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   6.10,PGV(SUM)=   0.24
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist= 112.83,BAZ=160.57,PGA(V)=   1.01,PGA(NS)=   2.28,PGA(EW)=   1.22,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.14
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 113.07,BAZ= 98.79,PGA(V)=   3.95,PGA(NS)=  10.21,PGA(EW)=  12.56,PGV(V)=   0.15,PGV(NS)=   0.38,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  12.51,PGV(SUM)=   0.40
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 113.47,BAZ=114.47,PGA(V)=   0.75,PGA(NS)=   1.82,PGA(EW)=   1.51,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.86,PGV(SUM)=   0.12
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 113.80,BAZ= 76.54,PGA(V)=   1.86,PGA(NS)=   4.83,PGA(EW)=   4.00,PGV(V)=   0.11,PGV(NS)=   0.19,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   4.35,PGV(SUM)=   0.24
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 114.74,BAZ=145.64,PGA(V)=   0.93,PGA(NS)=   1.25,PGA(EW)=   1.31,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.16
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 115.53,BAZ=173.38,PGA(V)=   1.13,PGA(NS)=   2.41,PGA(EW)=   1.43,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.09
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 116.00,BAZ=136.53,PGA(V)=   0.99,PGA(NS)=   2.62,PGA(EW)=   3.42,PGV(V)=   0.08,PGV(NS)=   0.30,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.69,PGV(SUM)=   0.40
Stacode=NSX ,Staname=¤T®l  ,Stalon=121.37,Stalat=24.94,Dist= 116.07,BAZ=165.73,PGA(V)=   0.66,PGA(NS)=   0.69,PGA(EW)=   0.86,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.07
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 116.22,BAZ= 78.53,PGA(V)=   2.79,PGA(NS)=   4.50,PGA(EW)=   3.75,PGV(V)=   0.13,PGV(NS)=   0.36,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   4.78,PGV(SUM)=   0.40
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 119.54,BAZ=146.97,PGA(V)=   0.76,PGA(NS)=   1.29,PGA(EW)=   1.54,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.14
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 119.96,BAZ= 63.41,PGA(V)=   2.15,PGA(NS)=   4.05,PGA(EW)=   3.68,PGV(V)=   0.15,PGV(NS)=   0.26,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.35,PGV(SUM)=   0.27
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 120.13,BAZ= 82.87,PGA(V)=   2.71,PGA(NS)=   3.30,PGA(EW)=   4.90,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.66,PGV(SUM)=   0.20
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 120.96,BAZ=107.76,PGA(V)=   1.44,PGA(NS)=   1.81,PGA(EW)=   2.05,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.25
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 121.57,BAZ= 47.32,PGA(V)=   0.79,PGA(NS)=   1.97,PGA(EW)=   1.89,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.09,PGV(SUM)=   0.09
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist= 122.75,BAZ=171.37,PGA(V)=   0.88,PGA(NS)=   1.06,PGA(EW)=   1.23,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.10
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist= 124.24,BAZ=173.32,PGA(V)=   0.64,PGA(NS)=   0.79,PGA(EW)=   0.55,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist= 124.63,BAZ=163.03,PGA(V)=   1.07,PGA(NS)=   1.64,PGA(EW)=   1.49,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.71,PGV(SUM)=   0.08
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist= 124.85,BAZ= 25.53,PGA(V)=   0.97,PGA(NS)=   1.00,PGA(EW)=   1.04,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.06
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist= 125.01,BAZ=157.61,PGA(V)=   0.89,PGA(NS)=   0.84,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.08
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 125.61,BAZ= 96.67,PGA(V)=   4.34,PGA(NS)=   7.14,PGA(EW)=   9.83,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.48,Int= 3¯Å,PGA(SUM)=   9.67,PGV(SUM)=   0.53
