Origin Time:2025/04/09 09:53:25
Lon:121.81¢XE
Lat:24.60¢XN
Depth:72.4km
Mag:5.8
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 107.85,BAZ= 75.05,PGA(V)=   0.92,PGA(NS)=   1.34,PGA(EW)=   1.48,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.09
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist= 108.04,BAZ= 53.13,PGA(V)=   1.27,PGA(NS)=   2.46,PGA(EW)=   1.76,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.49,PGV(SUM)=   0.16
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist= 109.00,BAZ= 56.65,PGA(V)=   1.14,PGA(NS)=   2.88,PGA(EW)=   1.99,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.98,PGV(SUM)=   0.19
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist= 109.93,BAZ= 20.64,PGA(V)=   2.90,PGA(NS)=   3.76,PGA(EW)=   6.46,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   5.19,PGV(SUM)=   0.18
Stacode=PCY ,Staname=´^¨ÎÀ¬,Stalon=122.08,Stalat=25.63,Dist= 117.35,BAZ=193.48,PGA(V)=   1.04,PGA(NS)=   0.88,PGA(EW)=   0.62,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.05
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist= 121.08,BAZ= 49.06,PGA(V)=   1.06,PGA(NS)=   2.20,PGA(EW)=   3.46,PGV(V)=   0.06,PGV(NS)=   0.24,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.57,PGV(SUM)=   0.30
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 121.64,BAZ= 76.85,PGA(V)=   0.64,PGA(NS)=   1.32,PGA(EW)=   1.68,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.83,PGV(SUM)=   0.10
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 124.60,BAZ= 66.31,PGA(V)=   0.73,PGA(NS)=   1.31,PGA(EW)=   1.35,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.06
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 128.31,BAZ= 61.34,PGA(V)=   2.44,PGA(NS)=   5.76,PGA(EW)=   6.11,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   6.63,PGV(SUM)=   0.28
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist= 130.58,BAZ= 21.90,PGA(V)=   1.32,PGA(NS)=   2.41,PGA(EW)=   3.35,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.23,PGV(SUM)=   0.09
