Origin Time:2024/04/07 18:01:22
Lon:121.97°E
Lat:24.16°N
Depth:41.7km
Mag:5.6
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 132.57,BAZ= 27.39,PGA(V)=   0.81,PGA(NS)=   1.66,PGA(EW)=   1.98,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.72,PGV(SUM)=   0.07
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 133.79,BAZ= 76.40,PGA(V)=   0.50,PGA(NS)=   1.24,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.08
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 134.24,BAZ= 77.92,PGA(V)=   1.23,PGA(NS)=   1.13,PGA(EW)=   1.15,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.11
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 136.68,BAZ= 98.72,PGA(V)=   0.74,PGA(NS)=   1.83,PGA(EW)=   1.67,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.00,PGV(SUM)=   0.18
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 138.28,BAZ= 58.50,PGA(V)=   0.48,PGA(NS)=   1.11,PGA(EW)=   1.18,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.09
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 140.73,BAZ= 33.02,PGA(V)=   0.49,PGA(NS)=   0.64,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 143.17,BAZ= 81.09,PGA(V)=   1.36,PGA(NS)=   2.02,PGA(EW)=   2.17,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.79,PGV(SUM)=   0.22
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 143.87,BAZ= 86.42,PGA(V)=   1.24,PGA(NS)=   2.22,PGA(EW)=   2.68,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.17
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 144.67,BAZ= 41.82,PGA(V)=   0.41,PGA(NS)=   0.66,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.03
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 145.80,BAZ= 64.66,PGA(V)=   0.57,PGA(NS)=   1.43,PGA(EW)=   2.22,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.53,PGV(SUM)=   0.18
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 147.41,BAZ= 94.13,PGA(V)=   1.08,PGA(NS)=   1.61,PGA(EW)=   2.01,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.19
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 148.15,BAZ= 27.35,PGA(V)=   0.78,PGA(NS)=   1.57,PGA(EW)=   1.63,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.08
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 152.02,BAZ= 69.70,PGA(V)=   0.58,PGA(NS)=   1.54,PGA(EW)=   1.16,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.14
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 153.93,BAZ= 71.29,PGA(V)=   0.76,PGA(NS)=   1.69,PGA(EW)=   1.71,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.16
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 156.59,BAZ= 74.75,PGA(V)=   0.81,PGA(NS)=   1.13,PGA(EW)=   1.29,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.09
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 157.04,BAZ= 85.73,PGA(V)=   0.77,PGA(NS)=   1.18,PGA(EW)=   1.67,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.15
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 160.54,BAZ= 60.12,PGA(V)=   0.60,PGA(NS)=   1.73,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.09
