Origin Time:2024/05/10 09:35:39
Lon:121.59¢XE
Lat:23.71¢XN
Depth:8.2km
Mag:5.2
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 133.77,BAZ= 97.14,PGA(V)=   0.55,PGA(NS)=   1.50,PGA(EW)=   1.57,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.11
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 135.42,BAZ= 77.99,PGA(V)=   0.74,PGA(NS)=   1.43,PGA(EW)=   1.12,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.16
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 136.89,BAZ=154.64,PGA(V)=   0.30,PGA(NS)=   0.88,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.08
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 139.86,BAZ= 94.22,PGA(V)=   0.43,PGA(NS)=   0.76,PGA(EW)=   0.92,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.09
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 140.73,BAZ= 81.45,PGA(V)=   0.37,PGA(NS)=   1.28,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.10
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 144.83,BAZ= 50.83,PGA(V)=   0.78,PGA(NS)=   1.41,PGA(EW)=   0.92,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.12
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 145.48,BAZ= 73.90,PGA(V)=   0.46,PGA(NS)=   1.00,PGA(EW)=   1.00,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.10
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 147.65,BAZ= 64.43,PGA(V)=   0.29,PGA(NS)=   0.86,PGA(EW)=   0.86,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.11
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 148.36,BAZ= 58.99,PGA(V)=   0.46,PGA(NS)=   1.05,PGA(EW)=   1.07,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.10
Stacode=NWF ,Staname=¤­¤À¤s,Stalon=121.78,Stalat=25.07,Dist= 151.86,BAZ=187.28,PGA(V)=   0.21,PGA(NS)=   0.80,PGA(EW)=   0.68,PGV(V)=   0.01,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.08
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 153.96,BAZ= 67.27,PGA(V)=   0.17,PGA(NS)=   0.74,PGA(EW)=   0.55,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.08
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist= 156.48,BAZ= 45.63,PGA(V)=   0.22,PGA(NS)=   0.67,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.12
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist= 160.34,BAZ= 44.38,PGA(V)=   0.26,PGA(NS)=   0.75,PGA(EW)=   0.63,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.10
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 166.71,BAZ= 50.47,PGA(V)=   0.67,PGA(NS)=   1.33,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.10
