Origin Time:2024/04/23 05:19:43
Lon:121.54°E
Lat:23.76°N
Depth:5.8km
Mag:5.7
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 101.48,BAZ= 69.64,PGA(V)=   2.63,PGA(NS)=   4.06,PGA(EW)=   5.61,PGV(V)=   0.22,PGV(NS)=   0.36,PGV(EW)=   0.43,Int= 2級,PGA(SUM)=   5.67,PGV(SUM)=   0.45
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 101.90,BAZ= 87.36,PGA(V)=   1.58,PGA(NS)=   4.47,PGA(EW)=   3.53,PGV(V)=   0.30,PGV(NS)=   0.54,PGV(EW)=   0.55,Int= 2級,PGA(SUM)=   4.48,PGV(SUM)=   0.58
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 102.96,BAZ=170.32,PGA(V)=   0.90,PGA(NS)=   2.79,PGA(EW)=   2.64,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.81,PGV(SUM)=   0.24
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist= 103.03,BAZ= 23.83,PGA(V)=   0.74,PGA(NS)=   1.27,PGA(EW)=   1.44,PGV(V)=   0.17,PGV(NS)=   0.27,PGV(EW)=   0.27,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.33
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 105.81,BAZ=156.27,PGA(V)=   1.05,PGA(NS)=   0.97,PGA(EW)=   1.15,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.14
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 105.84,BAZ=109.70,PGA(V)=   2.10,PGA(NS)=   5.44,PGA(EW)=   4.28,PGV(V)=   0.25,PGV(NS)=   0.38,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   5.48,PGV(SUM)=   0.47
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 106.69,BAZ=133.01,PGA(V)=   1.10,PGA(NS)=   2.47,PGA(EW)=   1.32,PGV(V)=   0.15,PGV(NS)=   0.26,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   2.51,PGV(SUM)=   0.28
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 107.15,BAZ= 91.87,PGA(V)=   2.00,PGA(NS)=   4.82,PGA(EW)=   3.54,PGV(V)=   0.28,PGV(NS)=   0.70,PGV(EW)=   0.64,Int= 2級,PGA(SUM)=   5.46,PGV(SUM)=   0.74
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 107.44,BAZ=187.93,PGA(V)=   0.71,PGA(NS)=   1.38,PGA(EW)=   1.84,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.23,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.24
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 109.37,BAZ= 58.67,PGA(V)=   1.12,PGA(NS)=   1.07,PGA(EW)=   1.13,PGV(V)=   0.13,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.18
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 110.51,BAZ=150.95,PGA(V)=   0.82,PGA(NS)=   1.83,PGA(EW)=   2.52,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.22
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 111.24,BAZ= 77.03,PGA(V)=   2.35,PGA(NS)=   3.96,PGA(EW)=   3.23,PGV(V)=   0.25,PGV(NS)=   0.63,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   4.43,PGV(SUM)=   0.64
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 111.82,BAZ=151.77,PGA(V)=   0.96,PGA(NS)=   1.11,PGA(EW)=   1.12,PGV(V)=   0.13,PGV(NS)=   0.18,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.18
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 112.22,BAZ=125.65,PGA(V)=   1.02,PGA(NS)=   1.53,PGA(EW)=   1.69,PGV(V)=   0.20,PGV(NS)=   0.24,PGV(EW)=   0.29,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.36
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 113.68,BAZ=191.30,PGA(V)=   1.01,PGA(NS)=   1.81,PGA(EW)=   2.47,PGV(V)=   0.13,PGV(NS)=   0.22,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   2.52,PGV(SUM)=   0.34
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 114.99,BAZ=141.06,PGA(V)=   1.04,PGA(NS)=   1.70,PGA(EW)=   1.08,PGV(V)=   0.14,PGV(NS)=   0.24,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.72,PGV(SUM)=   0.25
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 116.34,BAZ= 75.61,PGA(V)=   1.07,PGA(NS)=   5.03,PGA(EW)=   3.79,PGV(V)=   0.15,PGV(NS)=   0.70,PGV(EW)=   0.51,Int= 2級,PGA(SUM)=   5.26,PGV(SUM)=   0.72
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 117.01,BAZ=118.20,PGA(V)=   2.21,PGA(NS)=   2.49,PGA(EW)=   3.16,PGV(V)=   0.40,PGV(NS)=   0.48,PGV(EW)=   0.50,Int= 2級,PGA(SUM)=   3.41,PGV(SUM)=   0.60
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 117.34,BAZ= 86.23,PGA(V)=   1.43,PGA(NS)=   5.27,PGA(EW)=   5.68,PGV(V)=   0.21,PGV(NS)=   0.61,PGV(EW)=   0.67,Int= 2級,PGA(SUM)=   5.69,PGV(SUM)=   0.77
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 117.41,BAZ=106.32,PGA(V)=   1.46,PGA(NS)=   3.01,PGA(EW)=   2.32,PGV(V)=   0.18,PGV(NS)=   0.37,PGV(EW)=   0.51,Int= 2級,PGA(SUM)=   3.18,PGV(SUM)=   0.51
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 117.56,BAZ=157.19,PGA(V)=   1.28,PGA(NS)=   2.22,PGA(EW)=   2.71,PGV(V)=   0.14,PGV(NS)=   0.25,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.74,PGV(SUM)=   0.26
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 117.98,BAZ= 19.35,PGA(V)=   0.55,PGA(NS)=   1.10,PGA(EW)=   1.09,PGV(V)=   0.19,PGV(NS)=   0.40,PGV(EW)=   0.37,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.42
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 118.77,BAZ=161.99,PGA(V)=   1.07,PGA(NS)=   2.79,PGA(EW)=   3.11,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.29
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 119.15,BAZ= 97.76,PGA(V)=   1.99,PGA(NS)=   6.26,PGA(EW)=   5.61,PGV(V)=   0.27,PGV(NS)=   0.51,PGV(EW)=   0.63,Int= 3級,PGA(SUM)=   8.26,PGV(SUM)=   0.77
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist= 120.25,BAZ=  3.31,PGA(V)=   0.56,PGA(NS)=   1.01,PGA(EW)=   0.91,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.15
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist= 120.95,BAZ= 58.39,PGA(V)=   0.77,PGA(NS)=   1.18,PGA(EW)=   1.40,PGV(V)=   0.12,PGV(NS)=   0.10,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.57,PGV(SUM)=   0.19
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 122.35,BAZ= 52.21,PGA(V)=   0.61,PGA(NS)=   0.92,PGA(EW)=   1.39,PGV(V)=   0.12,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.17
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 122.92,BAZ=146.57,PGA(V)=   0.80,PGA(NS)=   2.13,PGA(EW)=   2.19,PGV(V)=   0.13,PGV(NS)=   0.24,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.60,PGV(SUM)=   0.25
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 123.05,BAZ= 68.64,PGA(V)=   1.69,PGA(NS)=   5.12,PGA(EW)=   6.06,PGV(V)=   0.20,PGV(NS)=   0.65,PGV(EW)=   0.49,Int= 2級,PGA(SUM)=   6.21,PGV(SUM)=   0.74
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist= 124.30,BAZ= 47.10,PGA(V)=   0.73,PGA(NS)=   0.81,PGA(EW)=   0.76,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.15
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 124.78,BAZ=155.03,PGA(V)=   1.05,PGA(NS)=   1.52,PGA(EW)=   1.46,PGV(V)=   0.17,PGV(NS)=   0.23,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.83,PGV(SUM)=   0.23
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 125.00,BAZ=193.77,PGA(V)=   0.79,PGA(NS)=   1.53,PGA(EW)=   1.76,PGV(V)=   0.12,PGV(NS)=   0.16,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   1.87,PGV(SUM)=   0.22
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 127.38,BAZ=168.48,PGA(V)=   0.99,PGA(NS)=   1.41,PGA(EW)=   1.42,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.20
