Origin Time:2020/05/25 06:31:30
Lon:121.95°E
Lat:24.36°N
Depth:23.8km
Mag:5.2
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 149.51,AZ= 50.94,PGA(V)=   0.35,PGA(NS)=   0.72,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.06
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 154.86,AZ= 56.99,PGA(V)=   0.33,PGA(NS)=   0.62,PGA(EW)=   1.47,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.09
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 159.34,AZ= 62.04,PGA(V)=   0.45,PGA(NS)=   0.80,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.09
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 160.66,AZ= 63.63,PGA(V)=   0.62,PGA(NS)=   1.09,PGA(EW)=   0.90,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.11
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 175.72,AZ= 64.97,PGA(V)=   0.48,PGA(NS)=   0.93,PGA(EW)=   0.65,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.07
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 176.25,AZ= 58.69,PGA(V)=   0.56,PGA(NS)=   1.26,PGA(EW)=   1.17,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.11
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 177.95,AZ= 71.97,PGA(V)=   0.28,PGA(NS)=   0.97,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.08
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 181.97,AZ= 58.33,PGA(V)=   0.30,PGA(NS)=   0.98,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.10
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 186.41,AZ= 70.75,PGA(V)=   0.51,PGA(NS)=   0.79,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.08
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 192.80,AZ= 65.47,PGA(V)=   0.42,PGA(NS)=   0.85,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.07
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 198.61,AZ= 62.20,PGA(V)=   0.31,PGA(NS)=   0.54,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 232.93,AZ= 54.80,PGA(V)=   0.65,PGA(NS)=   0.57,PGA(EW)=   0.38,PGV(V)=   0.11,PGV(NS)=   0.09,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.14
