Origin Time:2024/04/22 00:35:52
Lon:121.67¢XE
Lat:24.19¢XN
Depth:32.2km
Mag:5.4
Stacode=TWB1,Staname=¤T¶I¨¤,Stalon=122.00,Stalat=25.01,Dist=  96.17,BAZ=200.45,PGA(V)=   0.53,PGA(NS)=   0.91,PGA(EW)=   1.14,PGV(V)=   0.25,PGV(NS)=   0.20,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.33
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist=  96.77,BAZ=157.37,PGA(V)=   1.70,PGA(NS)=   1.87,PGA(EW)=   1.78,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.12
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist=  97.20,BAZ=123.97,PGA(V)=   1.10,PGA(NS)=   1.85,PGA(EW)=   1.33,PGV(V)=   0.05,PGV(NS)=   0.20,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.23
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist=  97.86,BAZ=178.52,PGA(V)=   1.09,PGA(NS)=   3.05,PGA(EW)=   3.08,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.20,PGV(SUM)=   0.12
Stacode=NWF ,Staname=¤­¤À¤s,Stalon=121.78,Stalat=25.07,Dist=  97.98,BAZ=186.89,PGA(V)=   1.21,PGA(NS)=   2.35,PGA(EW)=   3.17,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.51,PGV(SUM)=   0.21
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist=  98.46,BAZ=150.52,PGA(V)=   1.67,PGA(NS)=   1.17,PGA(EW)=   0.89,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.11
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  99.33,BAZ= 56.33,PGA(V)=   1.40,PGA(NS)=   3.58,PGA(EW)=   1.99,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.60,PGV(SUM)=   0.15
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  99.54,BAZ= 12.67,PGA(V)=   1.35,PGA(NS)=   3.22,PGA(EW)=   2.53,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.79,PGV(SUM)=   0.18
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  99.60,BAZ= 80.31,PGA(V)=   2.02,PGA(NS)=   3.95,PGA(EW)=   3.12,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.10,PGV(SUM)=   0.22
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  99.84,BAZ= 86.96,PGA(V)=   0.84,PGA(NS)=   2.00,PGA(EW)=   3.27,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.38,PGV(SUM)=   0.16
