Origin Time:2024/04/03 09:17:43
Lon:121.67¢XE
Lat:24.04¢XN
Depth:35.7km
Mag:5.2
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 120.84,BAZ= 72.55,PGA(V)=   0.87,PGA(NS)=   1.56,PGA(EW)=   1.61,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.80,PGV(SUM)=   0.14
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 123.79,BAZ= 76.90,PGA(V)=   1.09,PGA(NS)=   1.65,PGA(EW)=   1.42,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.08
Stacode=NHW ,Staname=·s«Î  ,Stalon=121.05,Stalat=25.01,Dist= 124.09,BAZ=149.43,PGA(V)=   0.30,PGA(NS)=   0.83,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.04
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist= 124.23,BAZ= 17.53,PGA(V)=   0.68,PGA(NS)=   1.42,PGA(EW)=   1.57,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.06
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 126.14,BAZ= 90.66,PGA(V)=   1.27,PGA(NS)=   4.07,PGA(EW)=   2.54,PGV(V)=   0.05,PGV(NS)=   0.27,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.05,PGV(SUM)=   0.30
Stacode=NTS ,Staname=²H¤ô  ,Stalon=121.45,Stalat=25.16,Dist= 126.31,BAZ=169.78,PGA(V)=   0.44,PGA(NS)=   0.89,PGA(EW)=   1.16,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.04
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 127.57,BAZ= 58.40,PGA(V)=   0.67,PGA(NS)=   1.78,PGA(EW)=   2.09,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.09
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 131.79,BAZ= 43.52,PGA(V)=   0.27,PGA(NS)=   0.92,PGA(EW)=   0.59,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.02
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 132.42,BAZ= 83.30,PGA(V)=   1.33,PGA(NS)=   4.71,PGA(EW)=   2.98,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   4.60,PGV(SUM)=   0.25
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 134.35,BAZ= 65.13,PGA(V)=   1.46,PGA(NS)=   2.65,PGA(EW)=   2.63,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.80,PGV(SUM)=   0.15
