Origin Time:2023/07/10 06:11:33
Lon:121.51°E
Lat:24.05°N
Depth:20.1km
Mag:5.3
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 115.79,BAZ=155.94,PGA(V)=   0.80,PGA(NS)=   1.54,PGA(EW)=   1.44,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.16
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 116.12,BAZ=193.52,PGA(V)=   0.58,PGA(NS)=   1.56,PGA(EW)=   1.69,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.16
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 116.57,BAZ=175.51,PGA(V)=   0.56,PGA(NS)=   0.86,PGA(EW)=   0.89,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.12
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 116.72,BAZ= 81.84,PGA(V)=   1.90,PGA(NS)=   2.29,PGA(EW)=   2.79,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.14
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 120.55,BAZ= 61.45,PGA(V)=   1.03,PGA(NS)=   1.82,PGA(EW)=   1.79,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.13
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 121.47,BAZ= 70.58,PGA(V)=   1.24,PGA(NS)=   2.83,PGA(EW)=   2.64,PGV(V)=   0.05,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.22
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 121.47,BAZ= 10.14,PGA(V)=   0.85,PGA(NS)=   1.58,PGA(EW)=   1.76,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.09
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist= 122.19,BAZ= 37.71,PGA(V)=   0.64,PGA(NS)=   1.05,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.04
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 123.37,BAZ=176.98,PGA(V)=   0.55,PGA(NS)=   1.53,PGA(EW)=   1.57,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.18
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 126.20,BAZ= 60.80,PGA(V)=   0.67,PGA(NS)=   1.98,PGA(EW)=   1.80,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.13
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 126.37,BAZ= 80.39,PGA(V)=   1.17,PGA(NS)=   1.34,PGA(EW)=   1.87,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.09
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 134.18,BAZ= 78.20,PGA(V)=   1.08,PGA(NS)=   1.65,PGA(EW)=   1.48,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.89,PGV(SUM)=   0.14
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 138.63,BAZ= 70.60,PGA(V)=   1.36,PGA(NS)=   3.70,PGA(EW)=   2.87,PGV(V)=   0.04,PGV(NS)=   0.23,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.88,PGV(SUM)=   0.24
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist= 139.01,BAZ= 46.30,PGA(V)=   0.35,PGA(NS)=   0.92,PGA(EW)=   0.47,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.05
