Origin Time:2024/04/03 09:07:16
Lon:121.70°E
Lat:24.05°N
Depth:21.8km
Mag:5.0
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 135.65,BAZ= 83.10,PGA(V)=   1.78,PGA(NS)=   2.41,PGA(EW)=   2.24,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.85,PGV(SUM)=   0.10
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 137.57,BAZ= 65.36,PGA(V)=   0.67,PGA(NS)=   1.03,PGA(EW)=   1.30,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.07
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 139.60,BAZ= 73.30,PGA(V)=   0.61,PGA(NS)=   1.54,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.09
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 143.13,BAZ= 64.64,PGA(V)=   0.32,PGA(NS)=   0.77,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.06
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 145.24,BAZ= 81.75,PGA(V)=   0.66,PGA(NS)=   1.50,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.09
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 152.28,BAZ= 59.53,PGA(V)=   4.94,PGA(NS)=   4.63,PGA(EW)=   5.43,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.06
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 152.92,BAZ= 79.76,PGA(V)=   0.75,PGA(NS)=   1.55,PGA(EW)=   1.69,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.16
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 156.75,BAZ= 73.01,PGA(V)=   0.92,PGA(NS)=   1.98,PGA(EW)=   1.77,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.16,PGV(SUM)=   0.16
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 157.79,BAZ= 65.41,PGA(V)=   0.45,PGA(NS)=   0.74,PGA(EW)=   1.33,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.06
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 161.13,BAZ= 68.75,PGA(V)=   0.23,PGA(NS)=   0.61,PGA(EW)=   0.82,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.05
